NOMBRE,TIPO,ESTADO,DEPARTAMENTO-CIUDAD,INFORMACION,CONTRATISTA,EXTENSION,LOCALIDADES,INICIO,FIN,PLAZO,AVANCE,FINANCIACION,INVERSION
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,600 metros,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local,Gs. 124.210.752.193
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,34.60 kms,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID,Gs. 141.086.387.988
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,6.79 kms,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local,Gs. 3.899.264.288
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,"14,30 Kms.","Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF,Gs. 25.819.592.870
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caaguazú (Tramo Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia),Pavimentación Asfáltica,FINALIZADA,Caaguazú - Raúl Arsenio Oviedo,Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caaguazú (Tramo Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia),Consorcio Roggio - Tecnoedil,"35,70 kms",Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia,"Mar, 06 Agosto 2013","Jue, 27 Noviembre 2014",15,100%,BIRF,Gs. 28.230.256.321
Pavimentación tipo empedrado tramo: San Cristóbal - Tuparenda - Tuna. (Grupo 1),Pavimentación Asfáltica,FINALIZADA,Caazapá - Abaí,Pavimentación tipo empedrado tramo: San Cristóbal - Tuparenda - Tuna. (Grupo 1),Consorcio Itá Piru,25 kms,Caazapá - Alto Paraná (San Cristóbal - Abai),"Lun, 07 Enero 2013","Mié, 16 Septiembre 2015",32,100%,Fondo Local,Gs. 26.824.536.460
"Pavimentación tipo empedrado, tramo Santa Catalina - Alemán Cué. (Grupo 1)",Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caaguazú - Carayaó,"Pavimentación tipo empedrado, tramo Santa Catalina - Alemán Cué. (Grupo 1)",MM S.A.,24.90,Carayao,"Lun, 07 Enero 2013","Vie, 08 Enero 2016",,97%,Fondo Local,Gs. 47.299.274.531
Pavimentación tipo empedrado tramo Iturbe - Valle Pe (Rojas Potrero) - Hasta El Puente S/ Río Tebicuarymi (Grupo 1),Pavimentación Asfáltica,EN CONSTRUCCIÓN,Guairá - Borja,Pavimentación tipo empedrado tramo Iturbe - Valle Pe (Rojas Potrero) - Hasta El Puente S/ Río Tebicuarymi (Grupo 1),Consorcio Santa Catalina,19.97,Iturbe - Borja,"Mié, 16 Enero 2013","Jue, 09 Junio 2016",,95%,Fondo Local,Gs. 36.338.356.337
"Rehabilitación y Pavimentación de la Ruta N° 8 ""Dr. Blas Garay"" Tramo Caazapá - Yuty y Accesos.",Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Rehabilitación y Pavimentación de la Ruta N° 8 ""Dr. Blas Garay"" Tramo Caazapá-Yuty y Accesos.
Convenio Modificatorio 2 para ampliación de alcance de obras y plazos fue suscrito en fecha.
En tramite convenio modificatorio 3",ILSUNG CONSTRUCTION LTD.,"72,9 Km Ruta; 12,7 Km Accesos",Caazapá - Maciel - Dr. Moisés Bertoni - Yegros - Yuty,"Lun, 02 Junio 2014","Lun, 22 Mayo 2017",36,87%,BID,Gs. 385.078.538.392
Pavimentación tipo empedrado Del tramo Cnel. Oviedo - La Pastora,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caaguazú - Coronel Oviedo,"Pavimentación tipo empedrado Del tramo Cnel. Oviedo - La Pastora
POLIZA ACTUALIZADO.CONTRATO S.G. MINISTRO N°268/2015 CM N° 1 AL CONTRATO S.G. MINISTRO N°524/2012 FIRMADO EL 02 DE OCTUBRE/2015. EL PRESENTE CM N° 1 MODIFICA EL MONTO DEL CONTRATO ORIGINAL Y AUMENTA EL PLAZO CONTRACTUAL EN 180 DIAS.",DC Ingeniería S.A.,"31,97 Kms.",Cnel Oviedo - La Pastora,"Jue, 21 Febrero 2013","Dom, 03 Abril 2016",37,71%,Fondo Local,Gs. 24.251.626.845
"Construcción de Puente de H° A° en el tramo Avda. B. Caballero, Santaní - Calle 4000 (A° Tapiracuay)",Pavimentación Asfáltica,FINALIZADA,San Pedro - San Estanislao,"Construcción de Puente de H° A° en el tramo Avda. B. Caballero, Santaní - Calle 4000 (A° Tapiracuay)",A.R. Consultores,30 metros,San Estanislao,"Lun, 22 Abril 2013","Mar, 30 Septiembre 2014",17,100%,Fondo Local,Gs. 1.196.002.319
Pavimentación asfáltica en el tramo: Ramal A Tebicuarymi (desde Valle Pe) (Grupo 1),Pavimentación Asfáltica,FINALIZADA,Guairá - Borja,Pavimentación asfáltica en el tramo: Ramal A Tebicuarymi (desde Valle Pe) (Grupo 1),EDIVISA,14.93 kilometros,Borja - Tebicuarymi (Guaira - Paraguari),"Lun, 07 Enero 2013","Jue, 15 Septiembre 2016",,100%,Fondo Local,Gs. 32.685.764.701
Pavimentación tipo empedrado del tramo: Iturbe - Maciel (Grupo 1),Pavimentación Asfáltica,FINALIZADA,Guairá - Iturbe,Pavimentación tipo empedrado del tramo: Iturbe - Maciel (Grupo 1),Constructora Heisecke,18.50,Iturbe - Maciel (Guaira - Caazapá),"Lun, 07 Enero 2013","Sáb, 09 Enero 2016",,100%,Fondo Local,Gs. 42.653.427.314
Pavimentación tipo empedrado En El tramo: Calle Johannsen (Villa Elisa) (Grupo 1),Pavimentación Asfáltica,FINALIZADA,Central - Villa Elisa,Pavimentación tipo empedrado En El tramo: Calle Johannsen (Villa Elisa) (Grupo 1),Arenales S.A.,1.40 kilometros,Villa Elisa,"Lun, 07 Enero 2013","Vie, 22 Enero 2016",,100%,Fondo Local,Gs. 4.944.434.298
Mejoramiento del tramo Cruce Guaraní - Corpus Christi - Pindoty Porã,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Canindeyú - Corpus Christi,Mejoramiento del tramo Cruce Guaraní - Corpus Christi - Pindoty Porã.,Roggio & Hijos S.A.,"42,00 Kms.",Corpus Christi - Pindoty Porã,"Mar, 12 Agosto 2014","Sáb, 13 Mayo 2017",33,95%,Bonos del Tesoro,Gs. 132.276.451.999
Pavimentación asfáltica del tramo: Mbaracayú - Santa Fe del Paraná. (Grupo 2),Pavimentación Asfáltica,FINALIZADA,Alto Paraná - Mbaracayú,Pavimentación asfáltica del tramo: Mbaracayú - Santa Fe del Paraná. (Grupo 2),EDIVISA,24 kilometros,Mbaracayu - Santa Fe del Paraná,"Lun, 07 Enero 2013","Mié, 23 Diciembre 2015",,100%,Fondo Local,Gs. 27.373.818.329
Construcción del Acceso Este a la ciudad de Asunción (Avda. Laguna Grande),Pavimentación Asfáltica,EN CONSTRUCCIÓN,Central - Fernando de la Mora,Construcción del Acceso Este a la ciudad de Asunción (Avda. Laguna Grande),Constructora Asunción S.A. y Asociados,"13,10 Kms.",San Lorenzo - Fdo. De La Mora - Asunción,"Lun, 30 Junio 2014","Lun, 16 Octubre 2017",24,60%,Bonos del Tesoro,Gs. 127.166.778.829
Pavimentación tipo empedrado tramo: Ruta Nº 6 - Raúl Peña (Naranjal),Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - Naranjal,Pavimentación tipo empedrado tramo: Ruta Nº 6 - Raúl Peña (Naranjal). (Grupo 2),Consorcio de Pavimentación Rural,11.80,Naranjal,"Lun, 07 Enero 2013","Vie, 11 Septiembre 2015",,100%,Fondo Local,Gs. 14.465.750.944
Pavimentación Asfáltica del tramo Empalme ruta 5 - Bella Vista Norte,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Amambay - Bella Vista,Pavimentación Asfáltica del tramo Empalme ruta 5 - Bella Vista Norte,Consorcio Gral. Aquino,"76,00 Kms.",Cruce Bella Vista - Bella Vista,"Mar, 26 Agosto 2014","Sáb, 03 Junio 2017",38,61%,Fondo Local,Gs. 261.694.924.113
Pavimentación asfáltica en el tramo: San Alberto - Mbaracayu.,Pavimentación Asfáltica,FINALIZADA,Alto Paraná - San Alberto,Pavimentación asfáltica en el tramo: San Alberto - Mbaracayu. (Grupo 2),Constructora ECO S.A.,10.30,San Alberto - Mbaracayu,"Lun, 07 Enero 2013","Mié, 28 Septiembre 2016",,100%,Fondo Local,Gs. 11.383.879.193
Pavimentación tipo empedrado Ruta Nº 6 (Cap. Meza 24) - Cap. Meza 16.,Pavimentación Asfáltica,FINALIZADA,Itapúa - Capitán Meza,Pavimentación tipo empedrado Ruta Nº 6 (Cap. Meza 24) - Cap. Meza 16. (Grupo 2),Yatyta S.A.,8,Cap. Meza,"Lun, 07 Enero 2013","Dom, 24 Mayo 2015",,100%,Fondo Local,Gs. 8.350.388.111
"Mejoramiento de la Ruta Departamental tramo. Villeta - Alberdi, Tramo Km. 40 - Alberdi",Pavimentación Asfáltica,EN CONSTRUCCIÓN,Ñeembucú - Alberdi,"Mejoramiento de la Ruta Departamental tramo. Villeta - Alberdi, Tramo Km. 40 - Alberdi",Constructora Heisecke S.A.,73 Kms.,Villa Oliva - Alberdi,"Vie, 03 Julio 2015","Lun, 02 Julio 2018",36,45%,CAF,Gs. 230.761.527.489
Mejoramiento de la Ruta Departamental tramo: Curuguaty - Villa Ygatimi - Ypejhu,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Canindeyú - Villa Ygatimí,Mejoramiento de la Ruta Departamental tramo: Curuguaty - Villa Ygatimi - Ypejhu,Consorcio Villa Ygatimí,88 Kms.,Curuguaty - Villa Ygatimi - Ypejhu,"Jue, 23 Julio 2015","Dom, 22 Julio 2018",36,45%,Fondo Local,Gs. 300.004.057.124
Obras Viales para la Ejecución de la Rehabilitación y Pavimentación del Tramo Vaquería-Empalme Ruta N° 10.,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caaguazú - Vaquería,"Obras Viales para la Ejecución de la Rehabilitación y Pavimentación del Tramo Vaquería - Empalme Ruta N° 10.
Convenio Morificatorio 1",Consorcio Concret Mix & Asociados,"57,31 Kms.",Vaquería - Curuguaty,"Jue, 04 Septiembre 2014","Sáb, 11 Agosto 2018",40,94%,BID,Gs. 244.578.473.833
Pavimentación tipo empedrado Yatytay - Colonia San Rafael,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Itapúa - Yatytay,"Pavimentación tipo empedrado Yatytay - Colonia San Rafael (Incluye Puente Sobre El Arroyo Tembey - Long. 60,94 m). (Grupo 2)",Constructora Feldmann S.A.,17 kms,Yatytay - San Rafael del Paraná,"Lun, 18 Febrero 2013","Sáb, 17 Diciembre 2016",,96%,Fondo Local,Gs. 32.837.780.381
Pavimentación tipo empedrado tramo: Benjamín Aceval - Cerrito.,Pavimentación Asfáltica,FINALIZADA,Presidente Hayes - Benjamín Aceval,Pavimentación tipo empedrado tramo: Benjamín Aceval - Cerrito.,Ing. Optaciano Gómez Verlangieri,5,Benjamín Aceval,"Lun, 07 Enero 2013","Mar, 08 Diciembre 2015",,0%,Fondo Local,Gs. 4.234.395.889
